"reviewId","userName","userImage","content","score","thumbsUpCount","reviewCreatedVersion","at","replyContent","repliedAt","appVersion"
"fd13e24d-9940-47e3-8428-755722e67b80","Mamae Rehan","https://play-lh.googleusercontent.com/a/ACg8ocJmG4ewiIYSzv6p5nGHaZtvvw0iQ2VrjUnqTfIpwQeAC_-eEQ=mo","Kalo aplikasi tidak online/ dibuka,pesan dan panggilan tidak masuk","4","0","2.22.7.74","2024-04-28 15:24:48","","","2.22.7.74"
"881d4904-39f1-49b5-9567-d12f23530323","Sukron Sukron","https://play-lh.googleusercontent.com/a/ACg8ocJP_MyTIZfeGJh7_xEIGBEpIR6vQ--pvMFMd_9TtaJARc0-7A=mo","Gk tau","5","0","2.24.8.85","2024-04-28 15:24:15","","","2.24.8.85"
"03e44fe3-ce9c-4cd9-8b86-44cafb5a7585","wahyu Hidayat","https://play-lh.googleusercontent.com/a/ACg8ocJ1gJzylt6L6Hv8JUk3WQe5_R80adeV2NyD8Y0IMR1vsuDS4A=mo","Apaan ji apk ngelag mulu padahal jaringan bagus,","1","0","2.24.8.85","2024-04-28 15:24:13","","","2.24.8.85"
"57d3d5bc-82b0-4700-a52e-67c8f745099f","Jos Rubun","https://play-lh.googleusercontent.com/a/ACg8ocIME2QE6mG2P-Ru_k4OoRgq7SCd8tTAm52smXv5423ZlDQAtg=mo","Bagus","5","0","","2024-04-28 15:22:24","","",""
"290a5720-1fa2-4f22-ad3d-20fb056fc919","anggun wulandari","https://play-lh.googleusercontent.com/a/ACg8ocJ1xShYYHlU3X65GXW1zBNdTlM8WGXBmHPT9e6UZUr6QryGwQ=mo","Bagus untk sarana meng ungkapkan keluarga","4","0","2.24.8.85","2024-04-28 15:22:05","","","2.24.8.85"
"8fb5a772-de33-479e-9336-3c3a02f9491d","Muhammad Zhein","https://play-lh.googleusercontent.com/a-/ALV-UjWJwRgfOjxoSZSzJRqsFGOH98wEWIqQENSIB_x_27bCs0M6501b","Toppp","5","0","2.24.6.77","2024-04-28 15:22:00","","","2.24.6.77"
"ce9f7260-4f3a-4da7-b755-a1984951ce97","Anggit Dani Pratama","https://play-lh.googleusercontent.com/a/ACg8ocL_2SxTgO23xjSGeyADUQ-9eBx62lspxqMx3fH0y0X0SbIxYg=mo","Sw jadi burik gak jelas","1","0","","2024-04-28 15:21:37","","",""
"78af6f71-09ae-40b4-8562-35302a67c0d9","Muhamad Malik Fahad","https://play-lh.googleusercontent.com/a/ACg8ocKIHASEJOczX4vsNxhP01Epxqdn6C6Q3EJH3V9MMN_GhOCw1g=mo","Tolong diperbaiki untuk posting status di hp android kok hasil foto/video statusnya jadi pecah/ kualitas gambarnya jelek","3","0","2.24.6.77","2024-04-28 15:20:43","","","2.24.6.77"
"5bd39943-e772-458a-bc3b-c9f5b8f9d079","K Tok","https://play-lh.googleusercontent.com/a/ACg8ocLgJ8He2UAl3hakRiIx-9hGoQ9rdL974VJJlhjDq5m5aLYwRg=mo","Apk gajelas apk bikin asing","1","0","2.24.8.85","2024-04-28 15:20:15","","","2.24.8.85"
"df90fc16-6c59-4b21-b639-dd3e742dfcc6","Asrul Rangga","https://play-lh.googleusercontent.com/a/ACg8ocLMuuCZFBjx0uV9Phmu154NFjqkQhXB9r2Jffd5XPrXeRVxPw=mo","Rangg Asru","5","0","2.24.8.85","2024-04-28 15:19:57","","","2.24.8.85"
